scope,position,n,ngram,count,percentage
global,prefix,3,Checkout Repository → Setup Runtime Environment → Inspect Runtime Environment,4,1.1
global,prefix,3,Checkout Repository → Setup Build Environment → Setup Runtime Environment,4,1.1
global,prefix,3,Checkout Repository → Setup Runtime Environment → Export Environment Configuration,3,0.82
c++,prefix,3,Checkout Repository → Setup Runtime Environment → Install Project Dependencies,4,5.06
c++,prefix,3,Checkout Repository → Setup Build Environment → Setup Runtime Environment,4,5.06
c++,prefix,3,Checkout Repository → Install Project Dependencies → Setup Runtime Environment,2,2.53
c++,prefix,3,Checkout Repository → Setup Build Environment → Build Source Code,2,2.53
c++,prefix,3,Checkout Repository → Install Project Dependencies → Run Static Analysis,2,2.53
c++,prefix,3,Checkout Repository → Setup Build Environment → Build Project,2,2.53
c++,prefix,3,Checkout Repository → Setup Runtime Environment → Free Disk Space (Ubuntu),1,1.27
c++,prefix,3,Checkout Repository → Install Project Dependencies → Download External Resources,1,1.27
c++,prefix,3,Checkout Repository → Build Project → Check metadata,1,1.27
c++,prefix,3,Checkout Repository → Install Project Dependencies → Run autogen,1,1.27
java,prefix,3,Checkout Repository → Setup Runtime Environment → Build Project,16,22.22
java,prefix,3,Checkout Repository → Setup Runtime Environment → Manage Build Cache,7,9.72
java,prefix,3,Checkout Repository → Initialize Security Analysis → Build Project,2,2.78
java,prefix,3,Checkout Repository → Setup Runtime Environment → Initialize Security Analysis,2,2.78
java,prefix,3,Checkout Repository → Verify Build Integrity → Setup Runtime Environment,2,2.78
java,prefix,3,Checkout Repository → Manage Build Cache → Setup Runtime Environment,2,2.78
java,prefix,3,Checkout Repository → Download Build Artifacts → Setup Runtime Environment,1,1.39
java,prefix,3,Checkout Repository → Setup Runtime Environment → Generate cache key,1,1.39
java,prefix,3,Checkout Repository → Setup Runtime Environment → Configure Secure Access,1,1.39
java,prefix,3,Setup Runtime Environment → Checkout Repository → Execute Tests,1,1.39
python,prefix,3,Checkout Repository → Setup Runtime Environment → Install Project Dependencies,79,36.92
python,prefix,3,Checkout Repository → Initialize Security Analysis → Build Project,17,7.94
python,prefix,3,Checkout Repository → Setup Runtime Environment → Manage Build Cache,4,1.87
python,prefix,3,Checkout Repository → Switch Git Reference → Initialize Security Analysis,3,1.4
python,prefix,3,Checkout Repository → Setup Build Environment → Configure Cloud Resources,3,1.4
python,prefix,3,Checkout Repository → Build Project → Upload Build Artifacts,3,1.4
python,prefix,3,Checkout Repository → Initialize Security Analysis → Perform Security Analysis,3,1.4
python,prefix,3,Checkout Repository → Export Environment Configuration → Setup Runtime Environment,3,1.4
python,prefix,3,Checkout Repository → Setup Runtime Environment → Inspect Runtime Environment,3,1.4
python,prefix,3,Checkout Repository → Setup Runtime Environment → Run Static Analysis,3,1.4
global,suffix,3,Initialize Security Analysis → Build Project → Perform Security Analysis,22,6.03
global,suffix,3,Checkout Repository → Setup Runtime Environment → Build Project,9,2.47
global,suffix,3,Setup Runtime Environment → Install Project Dependencies → Execute Tests,6,1.64
global,suffix,3,Setup Runtime Environment → Install Project Dependencies → Run Static Analysis,6,1.64
global,suffix,3,Install Project Dependencies → Run Static Analysis → Execute Tests,4,1.1
global,suffix,3,Install Project Dependencies → Build Project → Upload Build Artifacts,4,1.1
global,suffix,3,Install Project Dependencies → Build Package → Publish Package,3,0.82
global,suffix,3,Checkout Repository → Initialize Security Analysis → Perform Security Analysis,3,0.82
global,suffix,3,Install Project Dependencies → Build Project → Publish Package,3,0.82
global,suffix,3,Configure Cloud Resources → Generate Version Metadata → Build Project,3,0.82
c++,suffix,3,Install CUDA ${{ matrix.cuda-version }} → Publish Conda package on organization channel → Publish Conda package on personal channel,1,1.27
c++,suffix,3,Build Source Code → Build Project → Deploy Documentation,1,1.27
c++,suffix,3,Setup Runtime Environment → Download Build Artifacts → Publish Package,1,1.27
c++,suffix,3,Build Project → Build Source Code → Execute Automation Script,1,1.27
c++,suffix,3,Generate Project Files → Setup Build Environment → Build Project,1,1.27
c++,suffix,3,Execute Tests → Download Build Artifacts → Install External Tool,1,1.27
c++,suffix,3,Merge label configuration files → Manage Labels → Sync labels,1,1.27
c++,suffix,3,Build Source Code → Execute Tests → REUSE Compliance Check,1,1.27
c++,suffix,3,Download External Resources → Setup Build Environment → Build Source Code,1,1.27
c++,suffix,3,Checkout Repository → Manage Build Cache → Ros-Industrial/Industrial Ci,1,1.27
java,suffix,3,Checkout Repository → Setup Runtime Environment → Build Project,8,11.11
java,suffix,3,Initialize Security Analysis → Build Project → Perform Security Analysis,3,4.17
java,suffix,3,Setup Runtime Environment → Manage Build Cache → Build Project,2,2.78
java,suffix,3,Setup Runtime Environment → Build Project → Upload Build Artifacts,2,2.78
java,suffix,3,Setup Runtime Environment → Build Project → Execute Tests,1,1.39
java,suffix,3,Manage Build Cache → Download Build Artifacts → Build Project,1,1.39
java,suffix,3,Build Project → Configure Build Profile → Upload Build Artifacts,1,1.39
java,suffix,3,Setup prerequisites → Build Container Image → Start Services,1,1.39
java,suffix,3,Setup Runtime Environment → Build Project → Read errors,1,1.39
java,suffix,3,Build Project → Run Static Analysis → Verify Build Integrity,1,1.39
python,suffix,3,Initialize Security Analysis → Build Project → Perform Security Analysis,19,8.88
python,suffix,3,Setup Runtime Environment → Install Project Dependencies → Execute Tests,6,2.8
python,suffix,3,Setup Runtime Environment → Install Project Dependencies → Run Static Analysis,6,2.8
python,suffix,3,Install Project Dependencies → Run Static Analysis → Execute Tests,4,1.87
python,suffix,3,Install Project Dependencies → Build Package → Publish Package,3,1.4
python,suffix,3,Checkout Repository → Initialize Security Analysis → Perform Security Analysis,3,1.4
python,suffix,3,Install Project Dependencies → Build Project → Publish Package,3,1.4
python,suffix,3,Install Project Dependencies → Build Project → Upload Build Artifacts,3,1.4
python,suffix,3,Install Project Dependencies → Generate Test Coverage → Upload Coverage,3,1.4
python,suffix,3,Setup Runtime Environment → Generate Test Coverage → Upload Coverage,2,0.93
global,prefix,4,Checkout Repository → Initialize Security Analysis → Build Project → Perform Security Analysis,19,5.21
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Run Static Analysis,15,4.11
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Project,14,3.84
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Execute Tests,9,2.47
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Generate Test Coverage,5,1.37
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Manage Build Cache,5,1.37
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Documentation,4,1.1
global,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Package,4,1.1
global,prefix,4,Checkout Repository → Setup Runtime Environment → Manage Build Cache → Build Project,4,1.1
global,prefix,4,Checkout Repository → Setup Runtime Environment → Manage Build Cache → Install Project Dependencies,4,1.1
c++,prefix,4,Checkout Repository → Setup Build Environment → Build Source Code → Execute Tests,2,2.53
