scope,from_step,to_step,count,pct_of_all_transitions
java,Run Static Analysis,Install Project Dependencies,2,0.649
java,Execute Tests,Build Project,2,0.649
java,Setup Runtime Environment,Execute Tests,2,0.649
java,Checkout Repository,Build Project,2,0.649
java,Build Project,Manage Build Cache,2,0.649
java,Build Project,Publish Package,2,0.649
java,Setup Runtime Environment,Export Environment Configuration,2,0.649
java,Build Project,Generate Version Metadata,2,0.649
java,Configure Cloud Resources,Upload Build Artifacts,2,0.649
java,gradle/actions/wrapper-validation,Setup Runtime Environment,2,0.649
java,Run Static Analysis,Execute Tests,2,0.649
java,Setup Runtime Environment,Setup Build Environment,2,0.649
java,Checkout Repository,Generate Version Metadata,2,0.649
java,Checkout Repository,Download Build Artifacts,1,0.325
java,Download Build Artifacts,Setup Runtime Environment,1,0.325
java,Setup Runtime Environment,Generate cache key,1,0.325
java,Generate cache key,Manage Build Cache,1,0.325
java,Manage Build Cache,Download Build Artifacts,1,0.325
java,Download Build Artifacts,Build Project,1,0.325
java,Configure Secure Access,Set up Gradle build,1,0.325
java,Set up Gradle build,Build Project,1,0.325
java,Configure Build Profile,Upload Build Artifacts,1,0.325
java,Checkout Repository,Execute Tests,1,0.325
java,Execute Tests,Capture Test Output,1,0.325
java,Capture Test Output,Build Project,1,0.325
java,Build Project,Check Spelling,1,0.325
java,Check Spelling,Setup Base Environment,1,0.325
python,Checkout Repository,Setup Runtime Environment,111,10.861
python,Setup Runtime Environment,Install Project Dependencies,90,8.806
python,Checkout Repository,Initialize Security Analysis,20,1.957
python,Initialize Security Analysis,Build Project,19,1.859
python,Build Project,Perform Security Analysis,19,1.859
python,Install Project Dependencies,Run Static Analysis,19,1.859
python,Install Project Dependencies,Execute Tests,17,1.663
python,Install Project Dependencies,Build Project,17,1.663
python,Upload Build Artifacts,Download Build Artifacts,14,1.37
python,Run Static Analysis,Execute Tests,9,0.881
python,Checkout Repository,Install Project Dependencies,9,0.881
python,Build Project,Upload Build Artifacts,9,0.881
python,Execute Tests,Upload Coverage,7,0.685
python,Configure Build Profile,Upload Build Artifacts,6,0.587
python,Configure Cloud Resources,Build Project,6,0.587
python,Install Project Dependencies,Generate Test Coverage,6,0.587
python,Checkout Repository,Export Environment Configuration,6,0.587
python,Generate Test Coverage,Upload Coverage,5,0.489
python,Upload Build Artifacts,Deploy Application,5,0.489
python,Checkout Repository,Generate Version Metadata,5,0.489
python,Setup Runtime Environment,Build Project,5,0.489
python,Install Project Dependencies,Build Package,5,0.489
python,Checkout Repository,Configure Cloud Resources,5,0.489
python,Install Project Dependencies,Manage Build Cache,5,0.489
python,Install Project Dependencies,Build Documentation,4,0.391
python,Build Package,Publish Package,4,0.391
python,Build Package,Upload Build Artifacts,4,0.391
python,Download Build Artifacts,Publish Package,4,0.391
python,Build Documentation,Upload Build Artifacts,4,0.391
python,Setup Build Environment,Configure Cloud Resources,4,0.391
python,Configure Cloud Resources,Generate Version Metadata,4,0.391
python,Initialize Security Analysis,Perform Security Analysis,4,0.391
python,Generate Version Metadata,Build Project,4,0.391
python,Build Project,Publish Package,4,0.391
python,Setup Runtime Environment,Manage Build Cache,4,0.391
python,Manage Build Cache,Install Project Dependencies,4,0.391
python,Execute Tests,Generate Test Coverage,4,0.391
python,Build Project,Execute Tests,4,0.391
python,Setup Runtime Environment,Run Static Analysis,4,0.391
python,Manage Build Cache,Execute Tests,4,0.391
python,Checkout Repository,Switch Git Reference,3,0.294
python,Switch Git Reference,Initialize Security Analysis,3,0.294
python,Run Static Analysis,Generate Test Coverage,3,0.294
python,Checkout Repository,Setup Build Environment,3,0.294
python,Setup Runtime Environment,Build Package,3,0.294
python,Install Project Dependencies,Inspect Runtime Environment,3,0.294
python,Checkout Repository,Build Project,3,0.294
python,Execute Benchmarks,Upload Build Artifacts,3,0.294
python,Install Project Dependencies,Configure Build Profile,3,0.294
python,Export Environment Configuration,Setup Runtime Environment,3,0.294
